date,home_team,away_team,home_goals,away_goals,season,venue
2022-04-07,Forge FC,Cavalry FC,2,0,2022,Tim Hortons Field
2022-04-09,Pacific FC,HFX Wanderers FC,1,0,2022,Starlight Stadium
2022-04-10,York United FC,Atletico Ottawa,0,1,2022,York Lions Stadium
2022-04-10,Valour FC,FC Edmonton,2,1,2022,IG Field
2022-04-16,Cavalry FC,Pacific FC,3,1,2022,ATCO Field
2022-04-16,HFX Wanderers FC,York United FC,2,2,2022,Wanderers Grounds
2022-04-17,FC Edmonton,Forge FC,0,3,2022,Clarke Stadium
2022-04-17,Atletico Ottawa,Valour FC,1,0,2022,TD Place Stadium
2022-04-23,Forge FC,Pacific FC,2,1,2022,Tim Hortons Field
2022-04-23,York United FC,Cavalry FC,1,2,2022,York Lions Stadium
2022-04-24,Valour FC,HFX Wanderers FC,1,1,2022,IG Field
2022-04-24,FC Edmonton,Atletico Ottawa,0,2,2022,Clarke Stadium
2022-04-30,Cavalry FC,Valour FC,4,0,2022,ATCO Field
2022-04-30,Pacific FC,York United FC,2,0,2022,Starlight Stadium
2022-05-01,HFX Wanderers FC,Forge FC,1,2,2022,Wanderers Grounds
2022-05-01,Atletico Ottawa,FC Edmonton,3,1,2022,TD Place Stadium
2022-05-07,Forge FC,Valour FC,1,0,2022,Tim Hortons Field
2022-05-07,York United FC,FC Edmonton,2,0,2022,York Lions Stadium
2022-05-08,Cavalry FC,HFX Wanderers FC,2,1,2022,ATCO Field
2022-05-08,Pacific FC,Atletico Ottawa,1,1,2022,Starlight Stadium
2022-05-14,Valour FC,Cavalry FC,0,1,2022,IG Field
2022-05-14,HFX Wanderers FC,Pacific FC,0,2,2022,Wanderers Grounds
2022-05-15,FC Edmonton,York United FC,1,3,2022,Clarke Stadium
2022-05-15,Atletico Ottawa,Forge FC,0,2,2022,TD Place Stadium
2022-05-21,Cavalry FC,Atletico Ottawa,2,0,2022,ATCO Field
2022-05-21,Pacific FC,Valour FC,3,2,2022,Starlight Stadium
2022-05-22,Forge FC,York United FC,2,1,2022,Tim Hortons Field
2022-05-22,HFX Wanderers FC,FC Edmonton,4,0,2022,Wanderers Grounds
2022-05-28,York United FC,Valour FC,1,2,2022,York Lions Stadium
2022-05-28,Atletico Ottawa,Pacific FC,2,2,2022,TD Place Stadium
2022-05-29,FC Edmonton,Cavalry FC,0,3,2022,Clarke Stadium
2022-05-29,Valour FC,Forge FC,1,1,2022,IG Field
