date,home_team,away_team,home_goals,away_goals,season,venue
2024-04-13,Forge FC,Atletico Ottawa,1,0,2024,Tim Hortons Field
2024-04-13,Cavalry FC,Pacific FC,2,1,2024,ATCO Field
2024-04-14,Valour FC,Vancouver FC,2,0,2024,IG Field
2024-04-14,York United FC,HFX Wanderers FC,1,1,2024,York Lions Stadium
2024-04-20,Pacific FC,Forge FC,0,2,2024,Starlight Stadium
2024-04-20,HFX Wanderers FC,Cavalry FC,1,3,2024,Wanderers Grounds
2024-04-21,Atletico Ottawa,Valour FC,2,1,2024,TD Place Stadium
2024-04-21,Vancouver FC,York United FC,0,1,2024,Willoughby Community Park
2024-04-27,Forge FC,Vancouver FC,3,0,2024,Tim Hortons Field
2024-04-27,Cavalry FC,Atletico Ottawa,1,1,2024,ATCO Field
2024-04-28,York United FC,Pacific FC,2,2,2024,York Lions Stadium
2024-04-28,Valour FC,HFX Wanderers FC,1,0,2024,IG Field
2024-05-04,HFX Wanderers FC,Forge FC,0,2,2024,Wanderers Grounds
2024-05-04,Atletico Ottawa,York United FC,1,0,2024,TD Place Stadium
2024-05-05,Pacific FC,Valour FC,1,1,2024,Starlight Stadium
2024-05-05,Vancouver FC,Cavalry FC,0,2,2024,Willoughby Community Park
2024-05-11,Forge FC,Cavalry FC,2,2,2024,Tim Hortons Field
2024-05-11,York United FC,Valour FC,0,1,2024,York Lions Stadium
2024-05-12,HFX Wanderers FC,Vancouver FC,2,1,2024,Wanderers Grounds
2024-05-12,Atletico Ottawa,Pacific FC,1,2,2024,TD Place Stadium
2024-05-18,Cavalry FC,Valour FC,3,1,2024,ATCO Field
2024-05-18,Pacific FC,HFX Wanderers FC,2,0,2024,Starlight Stadium
2024-05-19,Vancouver FC,Atletico Ottawa,1,2,2024,Willoughby Community Park
2024-05-19,Forge FC,York United FC,1,0,2024,Tim Hortons Field
2024-05-25,Valour FC,Forge FC,0,3,2024,IG Field
2024-05-25,HFX Wanderers FC,Atletico Ottawa,1,1,2024,Wanderers Grounds
2024-05-26,York United FC,Cavalry FC,1,2,2024,York Lions Stadium
2024-05-26,Pacific FC,Vancouver FC,3,1,2024,Starlight Stadium
2024-06-01,Atletico Ottawa,Forge FC,0,1,2024,TD Place Stadium
2024-06-01,Cavalry FC,HFX Wanderers FC,2,0,2024,ATCO Field
2024-06-02,Vancouver FC,Valour FC,1,3,2024,Willoughby Community Park
2024-06-02,York United FC,Pacific FC,0,0,2024,York Lions Stadium
2024-06-08,Forge FC,Pacific FC,2,1,2024,Tim Hortons Field
2024-06-15,Cavalry FC,York United FC,1,0,2024,ATCO Field
2024-06-22,Valour FC,Atletico Ottawa,2,2,2024,IG Field
2024-06-29,HFX Wanderers FC,Pacific FC,1,2,2024,Wanderers Grounds
2024-07-06,Forge FC,HFX Wanderers FC,3,0,2024,Tim Hortons Field
2024-07-13,Cavalry FC,Vancouver FC,4,0,2024,ATCO Field
2024-07-20,Pacific FC,Atletico Ottawa,2,1,2024,Starlight Stadium
2024-07-27,York United FC,Forge FC,1,2,2024,York Lions Stadium
