date,home_team,away_team,home_goals,away_goals,season,venue
2019-04-27,Forge FC,York United FC,1,1,2019,Tim Hortons Field
2019-04-28,Cavalry FC,Pacific FC,1,0,2019,ATCO Field
2019-04-28,Valour FC,FC Edmonton,2,1,2019,IG Field
2019-05-01,HFX Wanderers FC,Forge FC,1,2,2019,Wanderers Grounds
2019-05-04,York United FC,Cavalry FC,2,2,2019,York Lions Stadium
2019-05-04,Pacific FC,Valour FC,1,1,2019,Starlight Stadium
2019-05-05,FC Edmonton,HFX Wanderers FC,0,0,2019,Clarke Stadium
2019-05-11,Forge FC,Pacific FC,3,1,2019,Tim Hortons Field
2019-05-11,Cavalry FC,Valour FC,2,0,2019,ATCO Field
2019-05-12,HFX Wanderers FC,York United FC,2,1,2019,Wanderers Grounds
2019-05-15,FC Edmonton,Forge FC,1,2,2019,Clarke Stadium
2019-05-18,Valour FC,HFX Wanderers FC,1,0,2019,IG Field
2019-05-18,Pacific FC,York United FC,0,2,2019,Starlight Stadium
2019-05-19,Cavalry FC,FC Edmonton,3,0,2019,ATCO Field
2019-05-25,Forge FC,Valour FC,1,0,2019,Tim Hortons Field
2019-05-25,York United FC,Pacific FC,1,1,2019,York Lions Stadium
2019-05-26,HFX Wanderers FC,Cavalry FC,1,2,2019,Wanderers Grounds
2019-06-01,FC Edmonton,York United FC,0,0,2019,Clarke Stadium
2019-06-01,Pacific FC,HFX Wanderers FC,1,0,2019,Starlight Stadium
2019-06-02,Valour FC,Cavalry FC,1,3,2019,IG Field
2019-06-08,Cavalry FC,Forge FC,1,1,2019,ATCO Field
2019-06-08,York United FC,Valour FC,2,1,2019,York Lions Stadium
2019-06-09,HFX Wanderers FC,Pacific FC,2,2,2019,Wanderers Grounds
2019-06-15,Forge FC,FC Edmonton,4,0,2019,Tim Hortons Field
2019-06-15,Valour FC,Pacific FC,0,1,2019,IG Field
2019-06-16,Cavalry FC,HFX Wanderers FC,1,0,2019,ATCO Field
2019-06-22,Pacific FC,Cavalry FC,0,2,2019,Starlight Stadium
2019-06-22,FC Edmonton,Valour FC,2,2,2019,Clarke Stadium
2019-06-23,York United FC,HFX Wanderers FC,1,0,2019,York Lions Stadium
2019-06-26,HFX Wanderers FC,FC Edmonton,1,1,2019,Wanderers Grounds
2019-06-29,Forge FC,Cavalry FC,2,1,2019,Tim Hortons Field
2019-06-29,Valour FC,York United FC,1,0,2019,IG Field
